policy,trade_id,asset,first_day,last_day,log_growth
robust_1.25__calmar,2021/64,AVAX,2021-12-19,2021-12-21,-0.009097111924373772
robust_1.25__calmar,2021/65,AVAX,2021-12-23,2021-12-24,0.013602854217126795
robust_1.25__calmar,2021/66,AVAX,2021-12-25,2021-12-31,-0.019992638746302853
robust_1.25__calmar,2021/7,ADA,2021-01-22,2021-01-23,0.040031019928525605
robust_1.25__calmar,2021/8,DOGE,2021-01-23,2021-01-24,0.0008358090267845197
robust_1.25__calmar,2021/9,ADA,2021-01-24,2021-01-25,0.005353823047481937
robust_1.25__calmar,2022/1,AVAX,2022-03-29,2022-03-31,0.04584365018809907
robust_1.25__calmar,2022/2,XRP,2022-03-31,2022-04-01,-0.06249963970068649
robust_1.25__calmar,2022/3,AVAX,2022-04-01,2022-04-03,-0.012667552228506903
robust_1.25__calmar,2022/4,SOL,2022-04-03,2022-04-06,-0.03790040092107493
robust_1.25__calmar,2022/5,AVAX,2022-04-06,2022-04-08,-0.03875884572270676
robust_1.25__calmar,2023/1,ETH,2023-01-18,2023-01-20,-0.014452431055283864
robust_1.25__calmar,2023/10,TRX,2023-02-15,2023-02-18,0.05411401195801625
robust_1.25__calmar,2023/11,LTC,2023-02-18,2023-02-20,-0.0246056881585638
robust_1.25__calmar,2023/12,DOT,2023-02-20,2023-02-25,-0.071267779820265
robust_1.25__calmar,2023/13,LINK,2023-02-25,2023-02-26,-0.013512666816775896
robust_1.25__calmar,2023/14,TRX,2023-02-26,2023-03-03,0.02215399951824129
robust_1.25__calmar,2023/15,LINK,2023-03-03,2023-03-04,-0.0386160602032474
robust_1.25__calmar,2023/16,TRX,2023-03-04,2023-03-08,-0.01886617316902732
robust_1.25__calmar,2023/17,ETH,2023-03-08,2023-03-10,-0.09813918066745421
robust_1.25__calmar,2023/18,ETH,2023-03-16,2023-03-18,0.07354828223920207
robust_1.25__calmar,2023/19,BNB,2023-03-18,2023-03-19,-0.029892942065327898
robust_1.25__calmar,2023/2,ETH,2023-01-21,2023-01-25,-0.07695194701729081
robust_1.25__calmar,2023/20,BTC,2023-03-19,2023-03-23,0.006873684781780282
robust_1.25__calmar,2023/21,XRP,2023-03-23,2023-03-24,0.024726942873746004
robust_1.25__calmar,2023/22,BTC,2023-03-24,2023-03-29,-0.030662393407768482
robust_1.25__calmar,2023/23,XRP,2023-03-29,2023-04-01,-0.0040351790107366085
robust_1.25__calmar,2023/24,XRP,2023-04-07,2023-04-13,-0.0003170660498852413
robust_1.25__calmar,2023/25,LTC,2023-04-13,2023-04-14,0.0218363496509236
robust_1.25__calmar,2023/26,XRP,2023-04-14,2023-04-17,0.011198511035076714
robust_1.25__calmar,2023/27,ADA,2023-04-17,2023-04-20,-0.0955138126473795
robust_1.25__calmar,2023/28,DOGE,2023-04-20,2023-04-23,-0.04986989388882157
robust_1.25__calmar,2023/29,ETH,2023-04-23,2023-04-24,-0.010101645448055153
robust_1.25__calmar,2023/3,BTC,2023-01-25,2023-01-29,0.012849517887967442
robust_1.25__calmar,2023/30,BNB,2023-04-24,2023-04-28,-0.03801263001821919
robust_1.25__calmar,2023/31,ADA,2023-04-29,2023-05-02,-0.050106551549213715
robust_1.25__calmar,2023/32,BNB,2023-05-02,2023-05-04,-0.0126043443091466
robust_1.25__calmar,2023/33,TRX,2023-05-04,2023-05-08,-0.028441548574275107
robust_1.25__calmar,2023/34,TRX,2023-05-12,2023-05-26,0.11857943283574959
robust_1.25__calmar,2023/35,TRX,2023-05-30,2023-05-31,5.1769146125700636e-05
robust_1.25__calmar,2023/36,LTC,2023-05-31,2023-06-01,-0.026215251904779198
robust_1.25__calmar,2023/37,XRP,2023-06-01,2023-06-06,-0.030939624421761888
robust_1.25__calmar,2023/38,XRP,2023-06-11,2023-06-15,-0.05768069042877865
robust_1.25__calmar,2023/39,BTC,2023-06-22,2023-07-02,0.008330748110185615
robust_1.25__calmar,2023/4,AVAX,2023-01-29,2023-02-01,-0.01659436322098635
robust_1.25__calmar,2023/40,LTC,2023-07-02,2023-07-05,-0.025638694445206816
robust_1.25__calmar,2023/41,SOL,2023-07-13,2023-07-14,0.12340747630663679
robust_1.25__calmar,2023/42,LTC,2023-07-14,2023-07-15,-0.03003133601812041
robust_1.25__calmar,2023/43,XRP,2023-07-15,2023-07-16,-0.0015152199132480275
robust_1.25__calmar,2023/44,SOL,2023-07-16,2023-07-20,-0.026440713560665702
robust_1.25__calmar,2023/45,XRP,2023-07-20,2023-08-05,-0.0444682467714838
robust_1.25__calmar,2023/46,LINK,2023-08-05,2023-08-07,-0.005010435211766886
