date,base_return,btc_return,btc_close,base_selected_symbol,signal_regime,signal_position,executed_regime,executed_position,strategy_return,equity,btc_fast_ma,btc_slow_ma,btc_risk_ma,btc_ret_lb,btc_vol,btc_trend_ok,risk_off,btc_led
2020-07-19,-0.001744606612484545,0.00422124515281963,9208.99,ALT,BASE,ALT,BASE,ALT,-0.001744606612484545,1.7867517828428734,9208.939999999999,8929.097899999999,8536.8425,0.0017873149590539317,0.014469908613060977,False,False,False
2020-07-20,0.010315430520034141,-0.005235101786406404,9160.78,ALT,BASE,ALT,BASE,ALT,0.010315430520034141,1.8051828967153363,9210.0515,8951.9374,8547.81785,0.0024325522101429353,0.01445944746296191,False,False,False
2020-07-21,0.03134756560627805,0.02502188678256645,9390.0,ALT,BASE,ALT,BASE,ALT,0.03134756560627805,1.8617709860014513,9217.9515,8976.7995,8558.04305,0.017114384748700084,0.01511751366589451,False,False,False
2020-07-22,-0.008999795459194049,0.013648562300319522,9518.16,ALT,BASE,ALT,BASE,ALT,-0.008999795459194049,1.8450154279355762,9239.5325,9003.602,8568.863299999999,0.047501028994534567,0.01325605983068174,False,False,False
2020-07-23,0.12635706914344746,0.00894185430797556,9603.27,ALT,BASE,ALT,BASE,ALT,0.12635706914344746,2.078146169933959,9266.783,9030.9477,8580.0859,0.06016718442614799,0.013316090238657348,False,False,False
2020-07-24,0.019533826870922644,-0.006817469466129933,9537.8,ALT,BASE,ALT,BASE,ALT,0.019533826870922644,2.11874031742992,9286.9,9060.113299999999,8588.9849,0.04404156988263308,0.011798674043626252,False,False,False
2020-07-25,0.015852474927208204,0.01705005347145061,9700.42,ALT,BASE,ALT,BASE,ALT,0.015852474927208204,2.152327595189243,9318.4505,9086.098100000001,8596.7606,0.06957563942968736,0.012088937955921584,False,False,False
2020-07-26,0.1497876857749465,0.023825772492325203,9931.54,ALT,BASE,ALT,BASE,ALT,0.1497876857749465,2.4747197647021952,9347.8175,9115.137999999999,8606.1384,0.06285610325121471,0.012537335430758304,False,False,False
2020-07-27,-0.01754223986704806,0.11059916186210783,11029.96,ALT,BTC,BTC,BASE,ALT,-0.01754223986704806,2.4313076369860647,9436.446,9152.9516,8622.1994,0.19147621521832825,0.022684765378500785,True,False,True
2020-07-28,0.007737368041850656,-0.011214002589311156,10906.27,ALT,BTC,BTC,BTC,BTC,-0.011214002589311156,2.404042946849491,9509.9565,9190.806900000001,8635.745649999999,0.15580761461881343,0.022899446185317248,True,False,True
2020-07-29,-0.0005906123717746015,0.017811772494170874,11100.53,ALT,BTC,BTC,BTC,BTC,0.017811772494170874,2.44686321288499,9603.3615,9233.5439,8651.14825,0.20234109546457435,0.022991245501957372,True,False,True
2020-07-30,0.023451836645827395,-8.287892560088217e-05,11099.61,ALT,BTC,BTC,BTC,BTC,-8.287892560088217e-05,2.4466604194908137,9693.925000000001,9276.1263,8665.7214,0.19500470482346688,0.02291019864700635,True,False,True
2020-07-31,0.04455249962011831,0.021248494316466804,11335.46,ALT,BTC,BTC,BTC,BTC,0.021248494316466804,2.4986482695086885,9798.996500000001,9318.229500000001,8681.847,0.2275745259653692,0.023050936206043975,True,False,True
2020-08-01,0.18533065665822956,0.04108434946618855,11801.17,ALT,BTC,BTC,BTC,BTC,0.04108434946618855,2.601303608206271,9923.9175,9361.4173,8696.8028,0.268567896589718,0.0234258578485722,True,False,True
2020-08-02,-0.06821138410937377,-0.06184302064964742,11071.35,ALT,BTC,BTC,BTC,BTC,-0.06184302064964742,2.440431135447968,10015.354,9397.080800000002,8708.0525,0.1978583994581622,0.026596807750286142,True,False,True
2020-08-03,0.019030969412065613,0.013409385485961378,11219.81,ALT,BTC,BTC,BTC,BTC,0.013409385485961378,2.4731558172951322,10113.552,9433.8922,8720.5515,0.21218580681406873,0.026620249423584437,True,False,True
2020-08-04,-0.015199534880017795,-0.0024813254413399433,11191.97,ALT,BTC,BTC,BTC,BTC,-0.0024813254413399433,2.46701911284528,10213.2705,9468.8809,8731.94495,0.2168359137166216,0.026547885435368252,True,False,True
2020-08-05,0.044007486372889204,0.04940506452393989,11744.91,ALT,BTC,BTC,BTC,BTC,0.04940506452393989,2.588902351297194,10343.83,9508.5838,8746.0897,0.2858846121843017,0.027308433646841795,True,False,True
2020-08-06,0.0014568421419938193,0.0014942643238644582,11762.46,ALT,BTC,BTC,BTC,BTC,0.0014942643238644582,2.5927708557187064,10474.237,9548.8186,8761.3935,0.28490810895839336,0.027148800999341905,True,False,True
2020-08-07,-0.01780511069395463,-0.014302280305310222,11594.23,ALT,BTC,BTC,BTC,BTC,-0.014302280305310222,2.5556883201727785,10595.4345,9576.9752,8776.1529,0.2643267163052818,0.027367158513304454,True,False,True
2020-08-08,0.011498432435069317,0.014419241295023477,11761.41,ALT,BTC,BTC,BTC,BTC,0.014419241295023477,2.592539406736223,10723.0555,9608.389299999999,8791.2798,0.2771661170226052,0.02686116789163211,True,False,True
2020-08-09,-0.025725333403477046,-0.006778949122596689,11681.68,ALT,BTC,BTC,BTC,BTC,-0.006778949122596689,2.574964713999631,10849.1005,9636.9365,8806.2764,0.2751839908828724,0.026997802150989687,True,False,True
2020-08-10,0.014696221100281459,0.018083015456680895,11892.92,ALT,BTC,BTC,BTC,BTC,0.018083015456680895,2.621527840723294,10974.246500000001,9666.1452,8823.7184,0.26655165069222586,0.026929587827461392,True,False,True
2020-08-11,-0.06956984478935635,-0.04211245009635989,11392.08,ALT,BTC,BTC,BTC,BTC,-0.04211245009635989,2.511128880354616,11067.942500000001,9691.1244,8838.4838,0.19687838825991588,0.028440993325169316,True,False,True
2020-08-12,0.014587263199667966,0.015120153650606483,11564.33,ALT,BTC,BTC,BTC,BTC,0.015120153650606483,2.5490975348620535,11165.995499999999,9718.0481,8854.60255,0.20420752514508078,0.02835986991019235,True,False,True
2020-08-13,-0.007051794032698733,0.0186495888650704,11780.0,ALT,BTC,BTC,BTC,BTC,0.0186495888650704,2.596637155864195,11278.1055,9745.6298,8870.42755,0.23508565916668434,0.028397552818746164,True,False,True
2020-08-14,0.03381716867627049,-0.0016519524617996106,11760.54,ALT,BTC,BTC,BTC,BTC,-0.0016519524617996106,2.592347634722165,11381.111499999999,9771.806,8884.6924,0.21237430956597758,0.02832929234833965,True,False,True
2020-08-15,0.003391464310137149,0.007810865827589497,11852.4,ALT,BTC,BTC,BTC,BTC,0.007810865827589497,2.6125961142754486,11477.1545,9790.466,8897.083349999999,0.19341008544495608,0.028182508741856193,True,False,True
