date,live_strategy_index,live_strategy_exposure_x,live_strategy_return_net,live_strategy_vs_btc_return,live_strategy_source,strategy_execution_index,model_index,btc_index,strategy_execution_exposure_x,strategy_execution_return_net,strategy_execution_vs_btc_return,strategy_execution_source,model_authorized_exposure_x,model_authorized_return_net,model_authorized_return_gross,model_transition_cost,model_asset_transition_day,real_account_index,real_account_exposure_x,real_account_return_net,real_account_vs_btc_return,real_account_source,chart_scope
2018-07-10,1.0,0.0,0.0,0.0548188865,pre_live,1.0,1.0,0.638372871,0.0,0.0,0.0548188865,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0548188865,real_account_flat_no_history,real_account_flat_no_history
2018-07-11,1.0,0.0,0.0,-0.0128888614,pre_live,1.0,1.0,0.6466007705,0.0,0.0,-0.0128888614,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0128888614,real_account_flat_no_history,real_account_flat_no_history
2018-07-12,1.0,0.0,0.0,0.0199903733,pre_live,1.0,1.0,0.6336749797,0.0,0.0,0.0199903733,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0199903733,real_account_flat_no_history,real_account_flat_no_history
2018-07-13,1.0,0.0,0.0,0.0057594747,pre_live,1.0,1.0,0.6300253447,0.0,0.0,0.0057594747,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0057594747,real_account_flat_no_history,real_account_flat_no_history
2018-07-14,1.0,0.0,0.0,-0.0060213337,pre_live,1.0,1.0,0.6338189376,0.0,0.0,-0.0060213337,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0060213337,real_account_flat_no_history,real_account_flat_no_history
2018-07-15,1.0,0.0,0.0,-0.0161580553,pre_live,1.0,1.0,0.644060219,0.0,0.0,-0.0161580553,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0161580553,real_account_flat_no_history,real_account_flat_no_history
2018-07-16,1.0,0.0,0.0,-0.0582936277,pre_live,1.0,1.0,0.6816048256,0.0,0.0,-0.0582936277,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0582936277,real_account_flat_no_history,real_account_flat_no_history
2018-07-17,1.0,0.0,0.0,-0.0883622004,pre_live,1.0,1.0,0.7418329278,0.0,0.0,-0.0883622004,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0883622004,real_account_flat_no_history,real_account_flat_no_history
2018-07-18,1.0,0.0,0.0,-0.0088090917,pre_live,1.0,1.0,0.7483678021,0.0,0.0,-0.0088090917,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0088090917,real_account_flat_no_history,real_account_flat_no_history
2018-07-19,1.0,0.0,0.0,-0.0114211788,pre_live,1.0,1.0,0.7569150446,0.0,0.0,-0.0114211788,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0114211788,real_account_flat_no_history,real_account_flat_no_history
2018-07-20,1.0,0.0,0.0,0.0172349827,pre_live,1.0,1.0,0.7438696269,0.0,0.0,0.0172349827,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0172349827,real_account_flat_no_history,real_account_flat_no_history
2018-07-21,1.0,0.0,0.0,-0.0083474957,pre_live,1.0,1.0,0.7500790754,0.0,0.0,-0.0083474957,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0083474957,real_account_flat_no_history,real_account_flat_no_history
2018-07-22,1.0,0.0,0.0,0.0005392781,pre_live,1.0,1.0,0.7496745742,0.0,0.0,0.0005392781,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0005392781,real_account_flat_no_history,real_account_flat_no_history
2018-07-23,1.0,0.0,0.0,-0.044114843,pre_live,1.0,1.0,0.7827463504,0.0,0.0,-0.044114843,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.044114843,real_account_flat_no_history,real_account_flat_no_history
