ts,main_selected,main_gross_exposure,main_strategy_ret,leader_selected,leader_gross_exposure,leader_strategy_ret,ret_diff_main_minus_leader,same_selection,main_in_market,leader_in_market,main_cash_leader_in,leader_cash_main_in
2025-08-01,ETHUSDT,1.0,-0.0270225331116334,ETHUSDT,1.0,-0.0270225331116334,0.0,True,True,True,False,False
2025-08-02,CASH,0.0,-0.0015,CASH,0.0,-0.0015,0.0,True,False,False,False,False
2025-08-03,ETHUSDT,1.0,0.062631162168191,ETHUSDT,1.0,0.062631162168191,0.0,True,True,True,False,False
2025-08-04,ETHUSDT,1.0,-0.0292905920198656,ETHUSDT,1.0,-0.0292905920198656,0.0,True,True,True,False,False
2025-08-05,TRXUSDT,1.0,0.0074853205512283,TRXUSDT,1.0,0.0074853205512283,0.0,True,True,True,False,False
2025-08-06,TRXUSDT,1.0,0.0032611918173732,TRXUSDT,1.0,0.0032611918173732,0.0,True,True,True,False,False
2025-08-07,TRXUSDT,1.0,-0.00177304964539,TRXUSDT,1.0,-0.00177304964539,0.0,True,True,True,False,False
2025-08-08,ETHUSDT,1.0,0.0596312507793989,ETHUSDT,1.0,0.0596312507793989,0.0,True,True,True,False,False
2025-08-09,ETHUSDT,1.0,-0.0023588116283546,ETHUSDT,1.0,-0.0023588116283546,0.0,True,True,True,False,False
2025-08-10,ETHUSDT,1.0,-0.0064344311468813,ETHUSDT,1.0,-0.0064344311468813,0.0,True,True,True,False,False
2025-08-11,ETHUSDT,1.0,0.0869715525120642,ETHUSDT,1.0,0.0869715525120642,0.0,True,True,True,False,False
2025-08-12,ETHUSDT,1.0,0.0345886740499985,ETHUSDT,1.0,0.0345886740499985,0.0,True,True,True,False,False
2025-08-13,ETHUSDT,1.0,-0.0426294401280188,ETHUSDT,1.0,-0.0426294401280188,0.0,True,True,True,False,False
2025-08-14,ETHUSDT,1.0,-0.0236142023911111,ETHUSDT,1.0,-0.0236142023911111,0.0,True,True,True,False,False
