strategy,cagr,mdd,sharpe,calmar,turnover,costs,fee,slippage,funding,trades,median_holding,profitable_folds,fold_count,worst_fold,without_best_day,without_three_trades,liquidations,total_log_growth
phase2_ensemble,-0.212150117804,0.548528031141,-0.494972638876,-0.38676258233,18.8544623312,0.139382960993,0.016969016098,0.0377090290928,0.084704915802,24,27.5,0,3,-0.267883928912,-0.252456178882,-0.376703785482,0,-0.532712753111
BTC_hold,-0.0687939832177,0.584114901319,0.0974492429649,-0.117774744425,2.92210163426,0.248475073539,0.00262989147083,0.00584518206841,0.24,3,355,1,3,-0.267985605966,-0.115301174597,-0.243211335706,0,-0.159233917632
BTC_SMA200,-0.106110705946,0.500483967229,-0.0968186867537,-0.212016194113,13.5711319594,0.201415834375,0.0122140187635,0.0271429920818,0.162058823529,15,4,1,3,-0.32664235075,-0.144257738808,-0.247179362108,0,-0.250604923759
S_core_unpruned,0.432931704756,0.508729348193,0.752364304625,0.851005954922,60.8909711018,0.280996350869,0.0548018739916,0.121782712172,0.104411764706,68,3,2,3,0,0.0601480189279,-0.0703605317956,0,0.803651063233
S_reference_before_NEO_pruning,0.367648925329,0.508729348193,0.692841651728,0.722680786227,59.1034560546,0.276106665844,0.0531931104492,0.118207673042,0.104705882353,66,3,2,3,0,0.011848850831,-0.112713875048,0,0.699477105079
S_NEO_only_not_pruned,0.367461473476,0.483220753158,1.07766199065,0.760442243167,33.1128566098,0.133968803459,0.0298015709488,0.0662260560394,0.0379411764706,37,2,1,3,-0.264242566604,0.229443309948,-0.0532732164361,0,0.699170877143
S_SSOT_shortlist_current,0.362834462382,0.580826089478,0.948305773719,0.624686922567,45.9313494233,0.192098232604,0.041338214481,0.0918629592999,0.0588970588235,52,2,1,3,-0.33864343541,0.197374139913,-0.114365420254,0,0.691598693053
S_economic_route_current,0.0829460762249,0.684934690622,0.375946460007,0.121100708375,48.433188238,0.202515767876,0.0435898694142,0.096867074932,0.0620588235294,56,2,1,3,-0.241875466797,-0.198787260059,-0.225205250464,0,0.178023554672
S_ETF_extra_day,0.334675591704,0.585219367705,0.899046841141,0.571880580468,45.4574205383,0.188959081141,0.0409116784845,0.0909150497157,0.0571323529412,51,2,2,3,-0.345574981774,0.172634008598,-0.132664392204,0,0.644954469652
S_current_without_ETF,0.418060044338,0.565201459178,1.05275236443,0.739665543232,39.568613225,0.163499225764,0.0356117519025,0.0791374738612,0.04875,38,2,1,3,-0.313991491292,0.245894841084,-0.0784772134203,0,0.780343473305
