start_ts,end_ts,selected_mode,bars,days,sum_selected_ret_next,sum_best_available_next,sum_leader_gap_ret,compound_selected_ret_next,compound_best_available_next,compound_gap_approx,pain_bars_gt_2pct_gap,turnover_sum,cost_sum
2025-09-18,2025-09-20,AVAXUSDT,3,3,-0.06202510539780748,0.0676142246362823,0.12963933003408978,-0.06109690252912747,0.06805023240642605,0.12914713493555352,2,0.0,0.0
2023-05-02,2023-05-08,BTCUSDT,7,7,-0.02961179687308002,0.09630970414809004,0.12592150102117006,-0.030324869350737305,0.09827473232294315,0.12859960167368045,2,2.0,0.003
2020-09-14,2020-09-17,BTCUSDT,4,4,0.024397742858909166,0.1421636533544297,0.11776591049552054,0.02451514603481897,0.1491635068464403,0.12464836081162134,2,0.0,0.0
2019-04-23,2019-04-27,BTCUSDT,5,5,-0.03346922283187925,0.08645905543413124,0.11992827826601049,-0.03382113880338089,0.08878592245968364,0.12260706126306453,4,0.0,0.0
2020-12-04,2020-12-06,BTCUSDT,3,3,0.027770337378274723,0.1411924532021085,0.11342211582383377,0.02768716368229951,0.1459032897697985,0.11821612608749898,2,0.0,0.0
2024-09-26,2024-09-28,TRXUSDT,3,3,0.0214369349486484,0.1321998808530176,0.11076294590436919,0.02154046997389014,0.1381089757150109,0.11656850574112076,3,1.0,0.0015
2024-10-28,2024-10-29,TRXUSDT,2,2,0.030227645765873445,0.13918617614269801,0.10895853037682457,0.03045066991473777,0.14364548494983298,0.11319481503509521,2,1.0,0.0015
2023-01-28,2023-01-30,LTCUSDT,3,3,0.05083698245684376,0.15485742642116407,0.10402044396432031,0.04929184788669572,0.158956043956044,0.1096641960693483,2,0.0,0.0
2025-01-15,2025-01-16,SOLUSDT,2,2,0.0652904427139045,0.1666479320161509,0.10135748930224642,0.06630719906732718,0.17320559715689088,0.1068983980895637,2,2.0,0.003
2020-12-10,2020-12-13,BTCUSDT,4,4,0.05545692887947451,0.1556362316397526,0.10017930276027809,0.05579461210662706,0.1626868920664455,0.10689227995981843,2,0.0,0.0
2021-05-11,2021-05-11,BTCUSDT,1,1,-0.12420500292747383,-0.018613318963581538,0.10559168396389229,-0.12420500292747383,-0.018613318963581538,0.10559168396389229,1,1.0,0.0015
2023-02-06,2023-02-08,LTCUSDT,3,3,-0.03713217938518032,0.06547363090703051,0.10260581029221083,-0.04044615865735435,0.06483394919920271,0.10528010785655706,2,0.0,0.0
2023-07-01,2023-07-03,TRXUSDT,3,3,-0.002706591968202221,0.08468847735787488,0.0873950693260771,-0.0029769609112088036,0.0862745038303403,0.0892514647415491,1,1.0,0.0015
2019-05-01,2019-05-02,BTCUSDT,2,2,0.0713150443242716,0.15461849870901645,0.08330345438474485,0.07235287561301829,0.16059072757296788,0.0882378519599496,2,0.0,0.0
2019-06-26,2019-06-26,BTCUSDT,1,1,-0.13470573859383828,-0.047592811519730494,0.08711292707410778,-0.13470573859383828,-0.047592811519730494,0.08711292707410778,1,0.0,0.0
2025-05-24,2025-05-27,BTCUSDT,4,4,-0.003803655993813937,0.07793154442739403,0.08173520042120797,-0.0038981304546110707,0.07995120451812543,0.0838493349727365,2,3.0,0.0045000000000000005
