ts,selected,n_selected,gross_exposure,raw_strategy_ret,turnover,cost,strategy_ret,selected_ret_next,best_available_next,captured_spike_day,available_spike_day,equity
2020-10-19,BNBUSDT,1,1.0,-0.0363749427462412,0.0,0.0,-0.0363749427462412,-0.0363749427462412,0.013489376222719507,0,0,2.9843073570087806
2020-10-20,ETHUSDT,1,1.0,0.05931835449907741,2.0,0.003,0.056318354499077405,0.05931835449907741,0.13011945392491464,0,1,3.1523786366750057
2020-10-21,BNBUSDT,1,1.0,0.030494839050345002,2.0,0.003,0.027494839050345003,0.030494839050345002,0.10824842624440256,0,1,3.2390527799161313
2020-10-22,BNBUSDT,1,1.0,-6.201125341065428e-05,0.0,0.0,-6.201125341065428e-05,-6.201125341065428e-05,0.01968721251149952,0,0,3.2388519221933856
2020-10-23,ETHUSDT,1,1.0,0.007406321038351482,2.0,0.003,0.004406321038351482,0.007406321038351482,0.06874774449657162,0,0,3.2531233435582516
2020-10-24,ETHUSDT,1,1.0,-0.01523754064152949,0.0,0.0,-0.01523754064152949,-0.01523754064152949,0.006182438839370308,0,0,3.2035537443988744
2020-10-25,BNBUSDT,1,1.0,0.030493228890069002,2.0,0.003,0.027493228890069003,0.030493228890069002,0.030493228890069002,0,0,3.2916297807552706
2020-10-26,BNBUSDT,1,1.0,0.014040139531737772,0.0,0.0,0.014040139531737772,0.014040139531737772,0.04474191687371998,0,0,3.337844722163898
2020-10-27,BTCUSDT,1,1.0,-0.027116851725961233,2.0,0.003,-0.030116851725961232,-0.027116851725961233,-0.0048130322102923895,0,0,3.2373193475822055
2020-10-28,BTCUSDT,1,1.0,0.014269131037809801,0.0,0.0,0.014269131037809801,0.014269131037809801,0.014269131037809801,0,0,3.283513081564093
2020-10-29,BTCUSDT,1,1.0,0.007758793671083675,0.0,0.0,0.007758793671083675,0.007758793671083675,0.007758793671083675,0,0,3.308989182080253
2020-10-30,BTCUSDT,1,1.0,0.017027898024350785,0.0,0.0,0.017027898024350785,0.017027898024350785,0.03166080355489731,0,0,3.3653343124363957
2020-10-31,BTCUSDT,1,1.0,-0.002139076209121904,0.0,0.0,-0.002139076209121904,-0.002139076209121904,0.05666666666666664,0,0,3.3581356058729215
2020-11-01,BTCUSDT,1,1.0,-0.015414744032263838,0.0,0.0,-0.015414744032263838,-0.015414744032263838,-0.015414744032263838,0,0,3.306370805082759
2020-11-02,CASH,0,0.0,0.0,1.0,0.0015,-0.0015,0.0,0.034994985006682855,0,0,3.301411248875135
2020-11-03,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766628854284826,0,0,3.301411248875135
2020-11-04,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1022347976281126,0,1,3.301411248875135
2020-11-05,BTCUSDT,1,1.0,-0.0006478503555480408,1.0,0.0015,-0.002147850355548041,-0.0006478503555480408,0.11874487284659563,0,1,3.2943203115504285
2020-11-06,BTCUSDT,1,1.0,-0.048884718278399464,0.0,0.0,-0.048884718278399464,-0.048884718278399464,-0.03155603917301408,0,0,3.1332783912014768
2020-11-07,BTCUSDT,1,1.0,0.04432357287948019,0.0,0.0,0.04432357287948019,0.04432357287948019,0.08043319335588839,0,0,3.272156484325596
2020-11-08,BTCUSDT,1,1.0,-0.009479098681107079,0.0,0.0,-0.009479098681107079,-0.009479098681107079,-0.00882214922571567,0,0,3.241139390110649
2020-11-09,BTCUSDT,1,1.0,-0.002035436160697679,0.0,0.0,-0.002035436160697679,-0.002035436160697679,0.039246405077253854,0,0,3.2345422577941565
2020-11-10,BTCUSDT,1,1.0,0.025300692086988485,0.0,0.0,0.025300692086988485,0.025300692086988485,0.028311942088200093,0,0,3.316378415500959
2020-11-11,BTCUSDT,1,1.0,0.03874079968171884,0.0,0.0,0.03874079968171884,0.03874079968171884,0.03874079968171884,0,0,3.4448575673646578
2020-11-12,BTCUSDT,1,1.0,0.0017702091719422608,0.0,0.0,0.0017702091719422608,0.0017702091719422608,0.08629776021080371,0,0,3.4509556858264414
2020-11-13,BTCUSDT,1,1.0,-0.015333288400620093,0.0,0.0,-0.015333288400620093,-0.015333288400620093,0.008800300864986621,0,0,3.398041187037905
2020-11-14,BTCUSDT,1,1.0,-0.007059540958716193,0.0,0.0,-0.007059540958716193,-0.007059540958716193,0.007958615200954977,0,0,3.374052576098606
2020-11-15,BTCUSDT,1,1.0,0.04741304756533182,0.0,0.0,0.04741304756533182,0.04741304756533182,0.18561335902376364,0,1,3.5340266913770995
2020-11-16,BTCUSDT,1,1.0,0.05658934626175016,0.0,0.0,0.05658934626175016,0.05658934626175016,0.06116951744135379,0,0,3.7340149515137053
2020-11-17,BTCUSDT,1,1.0,0.006610651110061427,0.0,0.0,0.006610651110061427,0.006610651110061427,0.012348444125903413,0,0,3.7586992215979156
2020-11-18,BTCUSDT,1,1.0,0.0015020150629045936,0.0,0.0,0.0015020150629045936,0.0015020150629045936,0.11046036502315437,0,1,3.7643448444456835
2020-11-19,BTCUSDT,1,1.0,0.04790533185192003,0.0,0.0,0.04790533185192003,0.04790533185192003,0.11690273843248344,0,1,3.9446770334239183
2020-11-20,BTCUSDT,1,1.0,0.0025799127021437496,0.0,0.0,0.0025799127021437496,0.0025799127021437496,0.40289775999515043,0,1,3.9548539558083036
2020-11-21,BTCUSDT,1,1.0,-0.015471187673093079,0.0,0.0,-0.015471187673093079,-0.015471187673093079,0.09487025648717573,0,0,3.8936676680383187
2020-11-22,BTCUSDT,1,1.0,-0.0025213921907981662,0.0,0.0,-0.0025213921907981662,-0.0025213921907981662,0.38035462105758655,0,1,3.8838502047865635
