model,overlay_mode,breadth_threshold,kill_multiplier,cooldown_days,kill_days_pct,start_date,end_date,days,years,start_equity,end_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,active_day_fraction,score
phase20_breadth_3d_weak,breadth_3d_weak,0.35,0.25,1.0,55.716425361957064,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,22.633339540761884,2163.3339540761885,76.67040569638775,-19.653750949872272,1.5068654050014432,2.4740417043327274,0.29955067398901647,58.61015183381009
phase20_breadth_3d_weak,breadth_3d_weak,0.4,0.25,1.0,55.716425361957064,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,22.633339540761884,2163.3339540761885,76.67040569638775,-19.653750949872272,1.5068654050014432,2.4740417043327274,0.29955067398901647,58.61015183381009
phase20_combo_all_3d,combo_all_3d,0.5,0.25,1.0,53.27009485771343,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,24.301485101130993,2330.1485101130993,78.97748225890031,-24.837427351878006,1.5353010009930461,2.6018558610297426,0.29955067398901647,58.57341560987786
phase20_combo_mixed,combo_mixed,0.35,0.25,2.0,61.80728906640039,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,21.102681932556425,2010.2681932556425,74.4277378039752,-17.58020987039195,1.494348601606352,2.585201467590414,0.29955067398901647,58.134360310432534
phase20_combo_mixed,combo_mixed,0.4,0.25,2.0,61.80728906640039,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,21.102681932556425,2010.2681932556425,74.4277378039752,-17.58020987039195,1.494348601606352,2.585201467590414,0.29955067398901647,58.134360310432534
phase20_combo_mixed,combo_mixed,0.5,0.25,2.0,64.30354468297553,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,21.04469939676288,2004.469939676288,74.34020122306029,-18.429884088183247,1.50061746989479,2.5919648458566673,0.29955067398901647,58.00554194898588
phase20_combo_mixed,combo_mixed,0.6,0.0,2.0,68.39740389415876,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,20.13485323321344,1913.4853233213441,72.94009504866384,-17.580209870391972,1.5098807213402208,1.8034287608050095,0.12431352970544184,58.001988339420265
phase20_btc_2d_neg,btc_2d_neg,0.35,0.25,2.0,77.78332501248127,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,7.42846328101661,642.846328101661,44.17469368021641,-10.490408667824912,1.821686116294741,2.1595629549477575,0.29955067398901647,57.85617309509679
phase20_btc_2d_neg,btc_2d_neg,0.4,0.25,2.0,77.78332501248127,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,7.42846328101661,642.846328101661,44.17469368021641,-10.490408667824912,1.821686116294741,2.1595629549477575,0.29955067398901647,57.85617309509679
phase20_btc_2d_neg,btc_2d_neg,0.5,0.25,2.0,77.78332501248127,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,7.42846328101661,642.846328101661,44.17469368021641,-10.490408667824912,1.821686116294741,2.1595629549477575,0.29955067398901647,57.85617309509679
phase20_btc_2d_neg,btc_2d_neg,0.6,0.25,2.0,77.78332501248127,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,7.42846328101661,642.846328101661,44.17469368021641,-10.490408667824912,1.821686116294741,2.1595629549477575,0.29955067398901647,57.85617309509679
phase20_combo_any_3d,combo_any_3d,0.5,0.25,1.0,68.64702945581628,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,10.509838319617652,950.9838319617652,53.59695048722857,-14.860713378008262,1.719701579299298,2.1121389680047087,0.29955067398901647,57.29325813960997
phase20_combo_all_3d,combo_all_3d,0.6,0.25,1.0,57.363954068896646,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,22.280549629043218,2128.0549629043217,76.16476484979438,-23.87986901988983,1.5096665056309675,2.6080242288176003,0.29955067398901647,57.23536963223527
phase20_combo_any_3d,combo_any_3d,0.6,0.5,0.0,60.35946080878682,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,15.238165484525709,1423.816548452571,64.36799760859502,-18.86547466885321,1.6103596425534537,2.0252695375950096,0.29955067398901647,57.12814782618863
phase20_combo_any_3d,combo_any_3d,0.5,0.0,1.0,68.64702945581628,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,9.179907378653475,817.9907378653475,49.85204765430689,-13.94444970226255,1.7501896502396035,1.3144145987220592,0.10783824263604593,57.01962302431873
phase20_combo_all_2d,combo_all_2d,0.5,0.0,2.0,69.29605591612581,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,18.87121844627375,1787.1218446273751,70.90713902884482,-17.58020987039194,1.4942993767324035,1.7110843611525173,0.12531203195207188,56.900920117288194
phase20_combo_all_2d,combo_all_2d,0.35,0.25,2.0,66.55017473789316,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,19.22238786678067,1822.238786678067,71.48300830086889,-17.58020987039195,1.473106159925562,2.452185085130864,0.29955067398901647,56.57264394232558
phase20_combo_all_2d,combo_all_2d,0.4,0.25,2.0,66.55017473789316,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,19.22238786678067,1822.238786678067,71.48300830086889,-17.58020987039195,1.473106159925562,2.452185085130864,0.29955067398901647,56.57264394232558
phase20_btc_2d_neg,btc_2d_neg,0.35,0.0,2.0,77.78332501248127,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,5.681841580236287,468.1841580236287,37.29379974717406,-10.122992667511122,1.8528439330233992,1.2016055316578715,0.08387418871692462,56.33703043684257
phase20_btc_2d_neg,btc_2d_neg,0.4,0.0,2.0,77.78332501248127,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,5.681841580236287,468.1841580236287,37.29379974717406,-10.122992667511122,1.8528439330233992,1.2016055316578715,0.08387418871692462,56.33703043684257
phase20_btc_2d_neg,btc_2d_neg,0.5,0.0,2.0,77.78332501248127,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,5.681841580236287,468.1841580236287,37.29379974717406,-10.122992667511122,1.8528439330233992,1.2016055316578715,0.08387418871692462,56.33703043684257
phase20_btc_2d_neg,btc_2d_neg,0.6,0.0,2.0,77.78332501248127,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,5.681841580236287,468.1841580236287,37.29379974717406,-10.122992667511122,1.8528439330233992,1.2016055316578715,0.08387418871692462,56.33703043684257
phase20_combo_any_3d,combo_any_3d,0.35,0.25,2.0,76.08587119321018,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,8.728703416392053,772.8703416392053,48.480450479961014,-10.488175261608212,1.698900935340665,2.5320728992789316,0.29955067398901647,56.29422847302051
phase20_combo_any_3d,combo_any_3d,0.4,0.25,2.0,76.08587119321018,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,8.728703416392053,772.8703416392053,48.480450479961014,-10.488175261608212,1.698900935340665,2.5320728992789316,0.29955067398901647,56.29422847302051
phase20_combo_mixed,combo_mixed,0.6,0.25,1.0,57.064403394907636,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,20.833815115619544,1983.3815115619543,74.02015598575859,-22.337635766870623,1.4763065866336211,2.470863435760711,0.29955067398901647,56.11342853079485
phase20_btc_2d_neg,btc_2d_neg,0.35,0.25,1.0,64.85272091862207,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,8.961244841680918,796.1244841680917,49.19439792652855,-15.813925109869198,1.7451713999176945,1.733713645626918,0.29955067398901647,56.10314673926659
phase20_btc_2d_neg,btc_2d_neg,0.4,0.25,1.0,64.85272091862207,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,8.961244841680918,796.1244841680917,49.19439792652855,-15.813925109869198,1.7451713999176945,1.733713645626918,0.29955067398901647,56.10314673926659
phase20_btc_2d_neg,btc_2d_neg,0.5,0.25,1.0,64.85272091862207,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,8.961244841680918,796.1244841680917,49.19439792652855,-15.813925109869198,1.7451713999176945,1.733713645626918,0.29955067398901647,56.10314673926659
phase20_btc_2d_neg,btc_2d_neg,0.6,0.25,1.0,64.85272091862207,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,8.961244841680918,796.1244841680917,49.19439792652855,-15.813925109869198,1.7451713999176945,1.733713645626918,0.29955067398901647,56.10314673926659
phase20_btc_3d_neg,btc_3d_neg,0.35,0.25,2.0,71.29306040938592,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,9.202878935581444,820.2878935581443,49.92039114600622,-12.763897977760497,1.694955522230945,2.3594753328525147,0.29955067398901647,56.016855563547644
phase20_btc_3d_neg,btc_3d_neg,0.4,0.25,2.0,71.29306040938592,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,9.202878935581444,820.2878935581443,49.92039114600622,-12.763897977760497,1.694955522230945,2.3594753328525147,0.29955067398901647,56.016855563547644
phase20_btc_3d_neg,btc_3d_neg,0.5,0.25,2.0,71.29306040938592,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,9.202878935581444,820.2878935581443,49.92039114600622,-12.763897977760497,1.694955522230945,2.3594753328525147,0.29955067398901647,56.016855563547644
phase20_btc_3d_neg,btc_3d_neg,0.6,0.25,2.0,71.29306040938592,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,9.202878935581444,820.2878935581443,49.92039114600622,-12.763897977760497,1.694955522230945,2.3594753328525147,0.29955067398901647,56.016855563547644
phase20_btc_3d_neg,btc_3d_neg,0.35,0.0,2.0,71.29306040938592,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,7.65486939630534,665.486939630534,44.96657228131957,-8.894007624318135,1.7006061636139085,1.5916137039096416,0.10783824263604593,55.58525210151412
phase20_btc_3d_neg,btc_3d_neg,0.4,0.0,2.0,71.29306040938592,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,7.65486939630534,665.486939630534,44.96657228131957,-8.894007624318135,1.7006061636139085,1.5916137039096416,0.10783824263604593,55.58525210151412
phase20_btc_3d_neg,btc_3d_neg,0.5,0.0,2.0,71.29306040938592,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,7.65486939630534,665.486939630534,44.96657228131957,-8.894007624318135,1.7006061636139085,1.5916137039096416,0.10783824263604593,55.58525210151412
phase20_btc_3d_neg,btc_3d_neg,0.6,0.0,2.0,71.29306040938592,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,7.65486939630534,665.486939630534,44.96657228131957,-8.894007624318135,1.7006061636139085,1.5916137039096416,0.10783824263604593,55.58525210151412
