ts,date,selected,gross_exposure,strategy_ret,kill_day,overlay_multiplier,final_ret,final_gross_exposure,final_equity
2018-09-06 20:00:00,2018-09-06,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-07 00:00:00,2018-09-07,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-07 04:00:00,2018-09-07,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-07 08:00:00,2018-09-07,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-07 12:00:00,2018-09-07,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-07 16:00:00,2018-09-07,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-07 20:00:00,2018-09-07,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-08 00:00:00,2018-09-08,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-08 04:00:00,2018-09-08,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-08 08:00:00,2018-09-08,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-08 12:00:00,2018-09-08,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-08 16:00:00,2018-09-08,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-08 20:00:00,2018-09-08,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-09 00:00:00,2018-09-09,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-09 04:00:00,2018-09-09,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-09 08:00:00,2018-09-09,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-09 12:00:00,2018-09-09,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-09 16:00:00,2018-09-09,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-09 20:00:00,2018-09-09,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-10 00:00:00,2018-09-10,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-10 04:00:00,2018-09-10,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-10 08:00:00,2018-09-10,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-10 12:00:00,2018-09-10,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-10 16:00:00,2018-09-10,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-10 20:00:00,2018-09-10,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-11 00:00:00,2018-09-11,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-11 04:00:00,2018-09-11,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-11 08:00:00,2018-09-11,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-11 12:00:00,2018-09-11,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-11 16:00:00,2018-09-11,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-11 20:00:00,2018-09-11,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-12 00:00:00,2018-09-12,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-12 04:00:00,2018-09-12,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-12 08:00:00,2018-09-12,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-12 12:00:00,2018-09-12,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-12 16:00:00,2018-09-12,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-12 20:00:00,2018-09-12,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-13 00:00:00,2018-09-13,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-13 04:00:00,2018-09-13,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-13 08:00:00,2018-09-13,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-13 12:00:00,2018-09-13,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-13 16:00:00,2018-09-13,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-13 20:00:00,2018-09-13,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-14 00:00:00,2018-09-14,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-14 04:00:00,2018-09-14,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-14 08:00:00,2018-09-14,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-14 12:00:00,2018-09-14,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-14 16:00:00,2018-09-14,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-14 20:00:00,2018-09-14,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-15 00:00:00,2018-09-15,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-15 04:00:00,2018-09-15,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-15 08:00:00,2018-09-15,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-15 12:00:00,2018-09-15,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-15 16:00:00,2018-09-15,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-15 20:00:00,2018-09-15,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-16 00:00:00,2018-09-16,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-16 04:00:00,2018-09-16,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-16 08:00:00,2018-09-16,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-16 12:00:00,2018-09-16,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-16 16:00:00,2018-09-16,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-16 20:00:00,2018-09-16,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-17 00:00:00,2018-09-17,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-17 04:00:00,2018-09-17,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-17 08:00:00,2018-09-17,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-17 12:00:00,2018-09-17,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-17 16:00:00,2018-09-17,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-17 20:00:00,2018-09-17,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-18 00:00:00,2018-09-18,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-18 04:00:00,2018-09-18,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-18 08:00:00,2018-09-18,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-18 12:00:00,2018-09-18,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-18 16:00:00,2018-09-18,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-18 20:00:00,2018-09-18,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-19 00:00:00,2018-09-19,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-19 04:00:00,2018-09-19,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-19 08:00:00,2018-09-19,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-19 12:00:00,2018-09-19,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-19 16:00:00,2018-09-19,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-19 20:00:00,2018-09-19,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-20 00:00:00,2018-09-20,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-20 04:00:00,2018-09-20,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-20 08:00:00,2018-09-20,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-20 12:00:00,2018-09-20,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-20 16:00:00,2018-09-20,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-20 20:00:00,2018-09-20,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-21 00:00:00,2018-09-21,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-21 04:00:00,2018-09-21,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-21 08:00:00,2018-09-21,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
