ts,daily_selected,selected,gross_exposure,raw_strategy_ret,turnover,cost,strategy_ret,selected_ret_next,best_available_next,kill_day,equity
2024-12-10 08:00:00,ETHUSDT,ETHUSDT,0.5,-0.024313953457365256,0.0,0.0,-0.024313953457365256,-0.04862790691473051,-0.021118264244516127,1,13.133364106324422
2024-12-10 12:00:00,ETHUSDT,ETHUSDT,0.5,0.008558615373835066,0.0,0.0,0.008558615373835066,0.01711723074767013,0.04097235836110569,1,13.245767518274983
2024-12-10 16:00:00,ETHUSDT,ETHUSDT,0.5,-7.853792692941175e-05,0.0,0.0,-7.853792692941175e-05,-0.0001570758538588235,0.11624293785310713,1,13.244727223153507
2024-12-10 20:00:00,ETHUSDT,ETHUSDT,0.5,0.005096120719355057,0.0,0.0,0.005096120719355057,0.010192241438710115,0.02710674157303372,1,13.312223951977625
2024-12-11 00:00:00,ETHUSDT,ETHUSDT,0.5,-0.0017256761512920438,0.0,0.0,-0.0017256761512920438,-0.0034513523025840875,-0.0006553493726745296,1,13.28925136458304
2024-12-11 04:00:00,ETHUSDT,ETHUSDT,0.5,0.008796521910539923,0.0,0.0,0.008796521910539923,0.017593043821079846,0.04121842137072407,1,13.406150555386267
2024-12-11 08:00:00,ETHUSDT,ETHUSDT,0.5,0.009483862636002649,0.0,0.0,0.009483862636002649,0.018967725272005298,0.0691608869786069,1,13.53329264573112
2024-12-11 12:00:00,ETHUSDT,ETHUSDT,1.0,0.00437510231455307,0.5,0.00075,0.00362510231455307,0.00437510231455307,0.01771197536726099,1,13.582352216224683
2024-12-11 16:00:00,ETHUSDT,ETHUSDT,0.5,0.003667279194302764,0.5,0.00075,0.002917279194302764,0.007334558388605528,0.01486599664991628,1,13.621975729754768
2024-12-11 20:00:00,ETHUSDT,ETHUSDT,0.5,0.01346491605794653,0.0,0.0,0.01346491605794653,0.02692983211589306,0.12297465724968837,1,13.805394489499301
2024-12-12 00:00:00,ETHUSDT,ETHUSDT,1.0,-0.007522236340533617,0.5,0.00075,-0.008272236340533617,-0.007522236340533617,0.06659267480577125,0,13.691193003507863
2024-12-12 04:00:00,ETHUSDT,ETHUSDT,1.0,0.002043324627438947,0.0,0.0,0.002043324627438947,0.002043324627438947,0.0074906367041198685,0,13.71916855535095
2024-12-12 08:00:00,ETHUSDT,ETHUSDT,1.0,0.01131758224348256,0.0,0.0,0.01131758224348256,0.01131758224348256,0.05062274005624734,0,13.874436373788335
2024-12-12 12:00:00,ETHUSDT,ETHUSDT,1.0,-0.021863874451381826,0.0,0.0,-0.021863874451381826,-0.021863874451381826,-0.0034416826003823564,0,13.57108743882814
2024-12-12 16:00:00,ETHUSDT,ETHUSDT,1.0,0.0027046296439809936,0.0,0.0,0.0027046296439809936,0.0027046296439809936,0.08129175946547873,0,13.607792204216253
2024-12-12 20:00:00,ETHUSDT,ETHUSDT,1.0,0.013195555452505392,0.0,0.0,0.013195555452505392,0.013195555452505392,0.03501544799176104,0,13.787354580833158
2024-12-13 00:00:00,ETHUSDT,ETHUSDT,1.0,-0.011998993091488885,0.0,0.0,-0.011998993091488885,-0.011998993091488885,0.004019990556416442,0,13.621920208467833
2024-12-13 04:00:00,ETHUSDT,ETHUSDT,1.0,0.004081695679476249,0.0,0.0,0.004081695679476249,0.004081695679476249,0.01999743439900792,0,13.677520741328905
2024-12-13 08:00:00,ETHUSDT,ETHUSDT,1.0,-0.0039190055107010124,0.0,0.0,-0.0039190055107010124,-0.0039190055107010124,0.02754101169315115,0,13.62391846217091
