ts,selected,market_score,best_symbol_raw,best_score_raw,prev_selected,prev_score_raw
2019-03-26,LTCUSDT,8.644034241519263,LTCUSDT,93.63592296421098,LTCUSDT,93.63592296421098
2019-03-27,LTCUSDT,14.787598048908807,LTCUSDT,96.78991078916565,LTCUSDT,96.78991078916565
2019-03-28,BNBUSDT,14.67484918503526,BNBUSDT,116.71235467323689,LTCUSDT,97.78615268795643
2019-03-29,BNBUSDT,18.24797137818359,BNBUSDT,115.45098684057251,BNBUSDT,115.45098684057251
2019-03-30,BNBUSDT,20.55731712225793,BNBUSDT,118.10680228278156,BNBUSDT,118.10680228278156
2019-03-31,BNBUSDT,20.546992657241816,BNBUSDT,120.02758672085824,BNBUSDT,120.02758672085824
2019-04-01,BNBUSDT,23.562946928575997,BNBUSDT,118.76290440273519,BNBUSDT,118.76290440273519
2019-04-02,BNBUSDT,37.42809370814795,BNBUSDT,117.31653002497406,BNBUSDT,117.31653002497406
2019-04-03,BNBUSDT,31.615225910705757,BNBUSDT,76.11532481048457,BNBUSDT,76.11532481048457
2019-04-04,CASH,29.813199128971977,CASH,,BNBUSDT,
2019-04-05,BNBUSDT,36.75783157551599,BNBUSDT,75.26438203215581,CASH,
2019-04-06,BNBUSDT,37.91500035290522,BNBUSDT,73.7416139054576,BNBUSDT,73.7416139054576
2019-04-07,BNBUSDT,43.857215209831466,BNBUSDT,59.54018743739098,BNBUSDT,59.54018743739098
2019-04-08,BNBUSDT,44.221905616188685,BNBUSDT,54.839394793205095,BNBUSDT,54.839394793205095
2019-04-09,ETHUSDT,42.35597379190274,ETHUSDT,5.893689425101027,BNBUSDT,
2019-04-10,BNBUSDT,46.55987939311392,BNBUSDT,54.84296241626681,ETHUSDT,10.062518593015664
2019-04-11,CASH,34.67226101910797,CASH,,BNBUSDT,
2019-04-12,CASH,33.58633652101019,CASH,,CASH,
2019-04-13,CASH,32.78732296100683,CASH,,CASH,
2019-04-14,CASH,36.157975847584105,CASH,,CASH,
2019-04-15,CASH,31.438554065030946,CASH,,CASH,
2019-04-16,BTCUSDT,32.70256898190403,BTCUSDT,66.90318380273612,CASH,
2019-04-17,BTCUSDT,32.92392660914915,BTCUSDT,67.46870926314571,BTCUSDT,67.46870926314571
