date,model_index,btc_index,model_authorized_exposure_x,model_authorized_return_net,model_authorized_return_gross,model_transition_cost,model_asset_transition_day
2025-05-09,9.801274337620297,10.630184270125593,0.0,0.0,0.0,0.0,False
2025-05-10,9.801274337620297,10.600369569693227,0.0,0.0,0.0,0.0,False
2025-05-11,9.801274337620297,10.789533662754787,0.0,0.0,0.0,0.0,False
2025-05-12,9.801274337620297,10.7183446571958,0.0,0.0,0.0,0.0,False
2025-05-13,9.801274337620297,10.581770640312952,0.0,0.0,0.0,0.0,False
2025-05-14,9.801274337620297,10.716874613959234,0.0,0.0,0.0,0.0,False
2025-05-15,9.801274337620297,10.655531192093886,0.0,0.0,0.0,0.0,False
2025-05-16,9.806582341573819,10.68187255507515,0.75,0.0005415626346817967,0.0018540626346817968,0.0010875,True
2025-05-17,9.783079590364839,10.651008853201564,0.7514471069596127,-0.0023966301806637607,-0.002171196048575877,0.0,False
2025-05-18,9.756924299571297,10.616290920321186,0.7510759622300885,-0.0026735232553255265,-0.0024482004666565,0.0,False
2025-05-19,9.991049230517834,10.958850113238626,0.7506346008249897,0.02399577200335804,0.02422096238360554,0.0,False
2025-05-20,9.926246666620113,10.868203623635988,0.7566980102785562,-0.006486061914276255,-0.006259052511192688,0.0,False
2025-05-21,10.014635960007642,10.999588223183034,0.7553381276293811,0.008904603759723597,0.009131205198012412,0.0,False
2025-05-22,10.2107840386434,11.287213300391189,0.7577221176100969,0.01958614166496446,0.01981345830024749,0.0,False
2025-05-23,10.354194015354263,11.498478484661314,0.7625991999466016,0.01404495249024156,0.01427373225022554,0.0,False
2025-05-24,10.040901596776632,11.047796994029236,0.7661129127352994,-0.030257537970898554,-0.030027704097077963,0.0,False
2025-05-25,10.070118868065993,11.093463043030678,0.7590522612550422,0.002909825478096546,0.0031375411564730587,0.0,False
2025-05-26,10.122857368647445,11.221350627959646,0.5,0.005237127910048311,0.0057640965870127125,0.0003769686769644017,True
2025-05-27,10.141447826902525,11.265676343421866,0.5031291448998987,0.0018364832752320057,0.0019874220187019753,0.0,False
2025-05-28,10.116710289312984,11.214553222153592,0.5041906292604351,-0.0024392510824655655,-0.002287993893687435,0.0,False
2025-05-29,10.061152198493344,11.095509573810995,0.5031298955089888,-0.005491715115963057,-0.00534077614731036,0.0,False
2025-05-30,9.957221146501453,10.869852789787934,0.5005379310839249,-0.010329935373351744,-0.010179773994026566,0.0,False
2025-05-31,9.950067472828584,10.7047014618077,0.0,-0.0007184407745510455,0.0,0.0007184407745510455,True
2025-06-01,9.950067472828584,10.767127856701668,0.0,0.0,0.0,0.0,False
2025-06-02,9.950067472828584,10.875327362569486,0.0,0.0,0.0,0.0,False
2025-06-03,9.950067472828584,10.897467572575664,0.0,0.0,0.0,0.0,False
2025-06-04,9.950067472828584,10.847941115915173,0.0,0.0,0.0,0.0,False
2025-06-05,9.950067472828584,10.77793493926292,0.0,0.0,0.0,0.0,False
2025-06-06,9.950067472828584,10.44973131562693,0.0,0.0,0.0,0.0,False
2025-06-07,9.950067472828584,10.735889437924644,0.0,0.0,0.0,0.0,False
2025-06-08,9.950067472828584,10.865982087708462,0.0,0.0,0.0,0.0,False
2025-06-09,9.950067472828584,10.884703520691785,0.0,0.0,0.0,0.0,False
2025-06-10,9.950067472828584,11.350938851142681,0.0,0.0,0.0,0.0,False
2025-06-11,9.950067472828584,11.352109326744904,0.0,0.0,0.0,0.0,False
2025-06-12,9.950067472828584,11.184386452542721,0.0,0.0,0.0,0.0,False
2025-06-13,9.950067472828584,10.87829318509368,0.0,0.0,0.0,0.0,False
2025-06-14,9.950067472828584,10.918940704138357,0.0,0.0,0.0,0.0,False
2025-06-15,9.950067472828584,10.8518252007412,0.0,0.0,0.0,0.0,False
2025-06-16,9.950067472828584,10.870292361540045,0.0,0.0,0.0,0.0,False
2025-06-17,9.950067472828584,10.99387790817377,0.0,0.0,0.0,0.0,False
2025-06-18,9.950067472828584,10.762936998147005,0.0,0.0,0.0,0.0,False
2025-06-19,9.950067472828584,10.797487131974469,0.0,0.0,0.0,0.0,False
2025-06-20,9.950067472828584,10.773995264566604,0.0,0.0,0.0,0.0,False
2025-06-21,9.950067472828584,10.633928350833848,0.0,0.0,0.0,0.0,False
2025-06-22,9.950067472828584,10.512664196005765,0.0,0.0,0.0,0.0,False
2025-06-23,9.950067472828584,10.393645254272183,0.0,0.0,0.0,0.0,False
2025-06-24,9.950067472828584,10.843518632900969,0.0,0.0,0.0,0.0,False
2025-06-25,9.950067472828584,10.920630018529957,0.0,0.0,0.0,0.0,False
2025-06-26,9.950067472828584,11.050091620341775,0.0,0.0,0.0,0.0,False
2025-06-27,9.923121791095047,11.009579987646696,0.5,-0.0027080903528664954,-0.0018330903528664955,0.000725,True
2025-06-28,9.926293665050009,11.01992793905703,0.4995196540032068,0.0003196447672151765,0.0004695006634161385,0.0,False
2025-06-29,9.936355642172376,11.045582664196004,0.499829386818626,0.0010136690956257062,0.001163617911671294,0.0,False
2025-06-30,9.983999229004763,11.154717932880379,0.5004856778658414,0.004794875359550776,0.004945021062910528,0.0,False
2025-07-01,9.926391904972652,11.030112209182622,0.5030187865437621,-0.005769964791739337,-0.005619059155776209,0.0,False
