policy,group,key,log_growth,annual_cost_fraction,annual_turnover,event_count
aggressive_2.5__growth,asset,DOGE,0.05776341338758574,0.004540804568857177,2.118160806654119,591
aggressive_2.5__growth,asset,ADA,-0.16637034445218804,0.004309650307880935,2.3556470267206837,191
aggressive_2.5__growth,asset,LINK,0.06291164947190599,0.00818090427347797,4.1637747577333455,321
aggressive_2.5__growth,asset,BNB,-0.6485042088112621,0.011385926901436427,4.754778822629989,646
aggressive_2.5__growth,asset,BTC,0.1191743246080693,0.012981828579869117,6.454111593091504,332
aggressive_2.5__growth,asset,TRX,0.621666997392157,0.03310973126544103,11.58019264835052,1582
aggressive_2.5__growth,asset,XRP,-0.06074090326585607,0.01254030986783615,5.149282352158922,957
aggressive_2.5__growth,asset,ETH,0.11390637103008826,0.012937953310972855,4.942915351495778,608
aggressive_2.5__growth,asset,SOL,-0.10478491280816614,0.011479583416914121,5.104138927087843,830
aggressive_2.5__growth,asset,AVAX,0.14383809423883742,0.007091522800682443,2.880626943745132,674
aggressive_2.5__growth,asset,DOT,-0.020919998397196955,0.0017128834597173262,0.7689561927037895,105
aggressive_2.5__growth,cost,fee,,0.02372313251008598,0.0,0
aggressive_2.5__growth,cost,slippage,,0.05271807224463551,0.0,0
aggressive_2.5__growth,cost,funding,,0.048185379587802425,0.0,0
aggressive_2__calmar,event,entry,-0.16132800551148896,0.028123675798651174,19.395638481828406,191
aggressive_2__calmar,event,funding,-0.20179115269957376,0.03519398608840868,0.0,1366
aggressive_2__calmar,event,mark,0.9583276457736946,0.0,0.0,5415
aggressive_2__calmar,event,rotation,-0.1346788271651694,0.023478757465082364,16.192246527643004,164
aggressive_2__calmar,event,resize,-0.015650308747659405,0.0027294334589245835,1.8823679027066087,220
aggressive_2__calmar,event,stop,-0.018420729193665202,0.0032108387132388483,2.2143715263716195,23
aggressive_2__calmar,event,boundary_exit,-0.0017755290511623954,0.0003096181725433113,0.21352977416780086,4
