ts,phase47_main_current,phase47_bnb_full_back,phase47_bnb_gap_filter,phase47_bnb_trend_filter
2019-06-09,1.822820571978856,1.7226455270886736,1.7226455270886736,1.6583146773553548
2019-06-10,1.797742788714996,1.6989459200988921,1.6989459200988921,1.635500113650465
2019-06-11,1.8530870650574578,1.7512486928220472,1.7512486928220472,1.685849680238185
2019-06-12,1.8738120989189135,1.7708347603862509,1.7708347603862509,1.704704321429681
2019-06-13,1.9721841903365562,1.863800708804857,1.863800708804857,1.794198529223772
2019-06-14,2.008367500279494,1.89799552643345,1.89799552643345,1.827116368135658
2019-06-15,2.005354949029075,1.8951485331438,1.8951485331438,1.8243756935834545
2019-06-16,2.005354949029075,1.8951485331438,1.8951485331438,1.8243756935834545
2019-06-17,2.005354949029075,1.8951485331438,1.8951485331438,1.8243756935834545
2019-06-18,2.005354949029075,1.8951485331438,1.8951485331438,1.8243756935834545
2019-06-19,2.005354949029075,1.8951485331438,1.8951485331438,1.8243756935834545
2019-06-20,2.1377788371801323,1.9868880656228551,1.9868880656228551,1.9126892849819386
2019-06-21,2.2576391833671163,2.0923276488409512,2.0923276488409512,2.0141913094409722
2019-06-22,2.2947920190637596,2.1267600355277354,2.1267600355277354,2.0473378455804006
2019-06-23,2.3264635647909992,2.1561124897617203,2.1561124897617203,2.0755941553708896
2019-06-24,2.4872768271678094,2.3051504926676967,2.3051504926676967,2.2190664506378126
2019-06-25,2.75512148181857,2.5533827082709957,2.5533827082709957,2.4580286283198842
2019-06-26,2.3839908076944494,2.209427404640616,2.209427404640616,2.126918066457255
2019-06-27,2.380414821482908,2.206113263533655,2.206113263533655,2.1237276893575694
2019-06-28,2.380414821482908,2.206113263533655,2.206113263533655,2.1237276893575694
2019-06-29,2.380414821482908,2.206113263533655,2.206113263533655,2.1237276893575694
2019-06-30,2.380414821482908,2.206113263533655,2.206113263533655,2.1237276893575694
2019-07-01,2.380414821482908,2.206113263533655,2.206113263533655,2.1237276893575694
2019-07-02,2.380414821482908,2.206113263533655,2.206113263533655,2.1237276893575694
2019-07-03,2.380414821482908,2.206113263533655,2.206113263533655,2.1237276893575694
2019-07-04,2.380414821482908,2.1673209851891935,2.1673209851891935,2.1237276893575694
2019-07-05,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-06,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-07,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-08,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-09,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-10,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-11,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-12,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-13,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-14,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-15,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-16,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-17,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-18,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-19,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-20,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-21,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-22,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-23,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-24,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-25,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-26,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-27,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-28,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-29,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-30,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-07-31,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-08-01,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-08-02,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-08-03,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-08-04,2.380414821482908,2.16407000371141,2.16407000371141,2.1237276893575694
2019-08-05,2.380414821482908,2.1330809962328225,2.1330809962328225,2.1237276893575694
2019-08-06,2.380414821482908,2.1298813747384733,2.1298813747384733,2.1237276893575694
2019-08-07,2.380414821482908,2.1298813747384733,2.1298813747384733,2.1237276893575694
2019-08-08,2.380414821482908,2.1298813747384733,2.1298813747384733,2.1237276893575694
2019-08-09,2.380414821482908,2.1298813747384733,2.1298813747384733,2.1237276893575694
2019-08-10,2.380414821482908,2.1298813747384733,2.1298813747384733,2.1237276893575694
2019-08-11,2.380414821482908,2.1298813747384733,2.1298813747384733,2.1237276893575694
