profile,decision_date,asset,history_days,max_gap_days,non_na_close_ratio,admission_train_delta_pct,admission_recent_delta_pct,admission_dd_worsen_pct,admission_trigger_days,admission_quality_score,admission_eligible,admission_failing,state,state_prev,fail_streaks,pass_streaks,suspended_now
phase68b_dynamic_repair_tight5,2026-03-14,SOL,2056,1,100.0,-13.261290646169211,0.0,2.1316282072803006e-14,9,-13.72661330771154,False,True,SUSPENDED,SUSPENDED,72,0,True
phase68b_dynamic_repair_tight5,2026-03-14,AVAX,2014,1,100.0,-14.586464001052768,0.0,2.1316282072803006e-14,6,-15.68308000131599,False,True,SUSPENDED,SUSPENDED,76,0,True
phase68b_dynamic_repair_tight5,2026-03-14,DOT,2049,1,100.0,-15.262587713346697,0.0,-3.075946824247321,3,-16.828234641683373,False,True,SUSPENDED,SUSPENDED,79,0,True
phase68b_dynamic_repair_tight5,2026-03-14,CAKE,1864,1,100.0,-16.036307643506696,0.0,-3.684555013480395,3,-17.795384554383368,False,True,SUSPENDED,SUSPENDED,25,0,True
phase68b_dynamic_repair_tight5,2026-03-14,CHZ,2396,1,100.0,-17.066509592868673,0.0,-11.145954366568091,4,-18.983136991085843,False,True,SUSPENDED,SUSPENDED,80,0,True
phase68b_dynamic_repair_tight5,2026-03-14,BCH,2313,1,100.0,-20.05185703279151,0.0,-14.408441644260371,25,-20.614821290989386,False,True,SUSPENDED,SUSPENDED,36,0,True
phase68b_dynamic_repair_tight5,2026-03-14,BNB,2644,1,100.0,-21.197781710923636,0.0,-8.411457228038454,11,-23.447227138654544,False,True,SUSPENDED,SUSPENDED,79,0,True
phase68b_dynamic_repair_tight5,2026-03-14,OP,1397,1,100.0,-22.65050689556962,0.0,-8.887284933068209,3,-26.063133619462025,False,True,SUSPENDED,SUSPENDED,95,0,True
phase68b_dynamic_repair_tight5,2026-03-14,DOGE,2459,1,100.0,-24.727351829377497,0.0,-6.658267209927583,7,-28.259189786721873,False,True,SUSPENDED,SUSPENDED,45,0,True
phase68b_dynamic_repair_tight5,2026-03-14,SKY,193,1,100.0,-27.3831010404582,-0.44164972370605016,-20.26442351715191,40,-29.6038254716909,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,NEAR,1992,1,100.0,-26.481721488042066,0.0,-8.568289363381687,8,-30.352151860052583,False,True,SUSPENDED,SUSPENDED,81,0,True
phase68b_dynamic_repair_tight5,2026-03-14,GNO,1672,1,100.0,-36.113915278583235,0.0,-17.88279607268899,16,-41.59239409822904,False,True,SUSPENDED,SUSPENDED,41,0,True
